ID,Nhóm,Mô tả,Ưu tiên,Tiền điều kiện,Các bước thực hiện,Kết quả mong đợi,Kết quả,Ghi chú
A-01,Trang chủ,"Tạo plan khi nhập đầy đủ thông tin",P1,"Backend + frontend đang chạy; mở trình duyệt ẩn danh","1. Vào trang chủ; 2. Nhập: Đi chơi chill Hà Nội, cả ngày, 2 người; 3. Nhấn nút gửi (↑)","Lời chào hiển thị; trạng thái lần lượt: Đang gửi yêu cầu... → Đang tìm địa điểm tin cậy... → Đang xếp tuyến và kiểm tra lịch trình...; tự chuyển hướng /plan/{token}; plan 1 ngày có điểm, chi phí, thời tiết, tham số 2 người",,
A-02,Trang chủ,"Thiếu thời lượng → chatbot hỏi lại",P1,"Như trên","1. Nhập: Đi Hà Nội, 2 người; 2. Nhấn gửi","Chatbot hỏi: Bạn muốn một ngày thế nào? (kèm ví dụ 2 giờ, 9h-17h, 20/8-22/8); hiện 4 chip: Vài giờ, Nửa ngày, Cả ngày, Nhiều ngày",,
A-03,Trang chủ,"Chọn chip thời lượng rồi thiếu điểm đến → hỏi điểm đến",P1,"Như trên","1. Nhập: đi chơi chill và ăn ngon, 2 người; 2. Gửi; 3. Bấm chip Cả ngày","Hiện câu hỏi: Bạn muốn đi ở đâu?; hiện chip điểm đến: Hà Nội, Hạ Long, Huế, Đà Nẵng, Hội An, Nha Trang, Đà Lạt, TP.HCM",,
A-04,Trang chủ,"Chọn chip điểm đến → tiếp tục hỏi số người",P1,"Từ A-03","1. Bấm chip Hà Nội","Hiện câu hỏi: Bạn đi mấy người?; nhập 3 người → tạo được plan với 3 người",,
A-05,Trang chủ,"Yêu cầu không có điểm đến (server-side)",P2,"Như trên","1. Nhập: đi chơi chill và ăn ngon cả ngày; 2. Gửi","Chatbot vẫn hỏi lại điểm đến; không tự bịa điểm đến mặc định",,
A-06,Trang chủ,"Nút gửi bị khoá khi đang xử lý",P2,"Như trên","1. Gửi yêu cầu hợp lệ; 2. Khi trạng thái Đang gửi yêu cầu... xuất hiện, thử nhập tiếp và gửi","Ô nhập và nút gửi bị disable tới khi xong; không gửi trùng yêu cầu",,
A-07,Trang chủ,"Giới hạn độ dài ô nhập",P3,"Như trên","1. Thử nhập hơn 500 ký tự","Không thể nhập quá 500 ký tự",,
A-08,Trang chủ,"Nhập rỗng → không gửi",P2,"Như trên","1. Để trống ô chat; 2. Nhấn gửi","Không gửi; hiện thông báo lỗi tạo kế hoạch hoặc nhắc nhập nội dung",,
A-09,Trang chủ,"Lỗi tạo plan → nút Thử lại",P2,"Backend tắt/mất mạng","1. Tắt backend; 2. Gửi yêu cầu hợp lệ; 3. Bật lại backend, bấm Thử lại","Hiện: Không thể tạo kế hoạch. Vui lòng thử lại. + nút Thử lại; sau khi bấm Thử lại tạo được plan bình thường",,
A-10,Trang chủ,"Timeout yêu cầu",P3,"Backend chậm > 180 giây","1. Làm chậm backend để yêu cầu vượt 180s","Hiện: Yêu cầu quá thời gian. Vui lòng thử lại. + nút Thử lại",,
